"Functionalci->CI sub-class","Functionalci->Name"
"PC","G2-24 PC Francisco"
"PC","G2-24 PC David"
"PC","G2-24 PC Ginés"
"PC","G2-24 PC Ángel"
"PC","G2-24 PC Pablo"
"PC Software","Eclipse"
"PC Software","Eclipse"
"PC Software","GitHub Desktop"
"PC Software","Discord"
"PC Software","Eclipse"
"PC Software","Discord"
"PC Software","Google Drive"
"PC Software","Github Desktop"
"PC Software","Google Chrome"
"PC Software","Github Desktop"
"PC Software","Toggl Track"
"PC Software","Google Chrome"
"PC Software","Eclipse"
"PC Software","Discord"
"PC Software","GitHub Desktop"
"Web server","Toggl"
"PC Software","WhatsApp"
"Peripheral","G2-24 Mouse David"
"Web server","ZenHub"
"PC Software","Microsoft Office"
"PC Software","Foxit Reader"
"PC Software","Microsoft Office 365"
"PC Software","Acrobat Reader DC"
"PC Software","Microsoft Word"
"PC Software","Java"
"PC Software","Maven"
"PC Software","Google Chrome"
"PC Software","Mail"
"PC Software","Maven"
"Peripheral","G2-24 Headphones PC Ángel"
"PC Software","Maven"
"Web server","Gmail"
"Web server","ZenHub"
"Web server","Enseñanza Virtual"
"PC Software","Java"
"PC Software","Notepad ++"
"Web server","SonarCloud"
"Web server","Enseñanza Virtual"
"Web server","Metro Retro"
"Web server","Scrum Poker Online"
"Web server","Scrum Poker Online"
"Web server","GitHub"
"Web server","SonarCloud"
"Web server","Scrum Poker Online"
"Web server","Metro Retro"
"PC Software","Maven"
"PC Software","Whatsapp Web"
"PC Software","7zip"
"PC Software","Nitro pro"
"Web server","GitHub"
"PC Software","Whatsapp Server"
"Web server","Heroku"
"PC Software","Discord"
"PC Software","Google Chrome"
"PC Software","Microsoft Office"
"PC Software","Zenhub"
"Phone","G2-24 phone Francisco"
"Peripheral","G2-24 mouse Francisco"
"Peripheral","G2-24 keyboard Francisco"
"PC Software","Whatsapp web"
"Web server","Heroku"
"PC Software","Zenhub"
"Peripheral","G2-24 Mouse Ginés"
"Peripheral","G2-24  Headphones Ginés"
"Peripheral","G2-24 Second Screen Ginés"
"Web server","Heroku"
"PC Software","Java"
"PC Software","Java"
"PC Software","Web Whatsapp"
"Web server","Heroku"
"Peripheral","G2-24 Headphones Francisco"
