"SLT->Name","SLT->Metric","SLT->Request type","SLT->Priority","SLT->Value","SLT->Unit"
"G2-24 TTR Service Request","TTR","service request","critical",6,"hours"
"G2-24 TTO Service Request","TTO","service request","critical",3,"hours"
"G2-24 TTR Service Request","TTR","service request","high",14,"hours"
"G2-24 TTO Service Request","TTO","service request","high",10,"hours"
"G2-24 TTR Service Request","TTR","service request","medium",36,"hours"
"G2-24 TTO Service Request","TTO","service request","medium",14,"hours"
"G2-24 TTR Service Request","TTR","service request","low",50,"hours"
"G2-24 TTO Service Request","TTO","service request","low",25,"hours"
"G2-24 TTO Incident","TTO","incident","critical",1,"hours"
"G2-24 TTR Incident","TTR","incident","critical",2,"hours"
"G2-24 TTO Incident","TTO","incident","high",150,"minutes"
"G2-24 TTR Incident","TTR","incident","high",6,"hours"
"G2-24 TTO Incident","TTO","incident","medium",7,"hours"
"G2-24 TTR Incident","TTR","incident","medium",18,"hours"
"G2-24 TTO Incident","TTO","incident","low",24,"hours"
"G2-24 TTR Incident","TTR","incident","low",36,"hours"
